#,label,environment,wifi_band,number_of_users,user_1_location,user_2_location,user_3_location,user_4_location,user_5_location,user_6_location,user_1_activity,user_2_activity,user_3_activity,user_4_activity,user_5_activity,user_6_activity
526,act_6_31,classroom,2.4,1,,,,,,d,,,,,,jump
527,act_6_32,classroom,2.4,1,,,,,,d,,,,,,wave
530,act_6_35,classroom,2.4,1,,,,,,d,,,,,,sit_down
537,act_6_42,classroom,2.4,1,,,,,,e,,,,,,lie_down
538,act_6_43,classroom,2.4,1,,,,,,e,,,,,,pick_up
540,act_6_45,classroom,2.4,1,,,,,,e,,,,,,stand_up
546,act_6_51,classroom,2.4,1,,,,,,a,,,,,,lie_down
553,act_6_58,classroom,2.4,1,,,,,,b,,,,,,jump
557,act_6_62,classroom,2.4,1,,,,,,b,,,,,,sit_down
560,act_6_65,classroom,2.4,1,,,,,,c,,,,,,walk
561,act_6_66,classroom,2.4,1,,,,,,c,,,,,,rotation
570,act_6_75,classroom,2.4,1,,,,,,d,,,,,,rotation
572,act_6_77,classroom,2.4,1,,,,,,d,,,,,,wave
575,act_6_80,classroom,2.4,1,,,,,,d,,,,,,sit_down
576,act_6_81,classroom,2.4,1,,,,,,d,,,,,,stand_up
581,act_6_86,classroom,2.4,1,,,,,,e,,,,,,wave
584,act_6_89,classroom,2.4,1,,,,,,e,,,,,,sit_down
594,act_6_99,classroom,2.4,1,,,,,,a,,,,,,stand_up
601,act_7_7,classroom,2.4,2,a,b,,,,,pick_up,sit_down,,,,
607,act_7_13,classroom,2.4,2,b,c,,,,,jump,wave,,,,
615,act_7_21,classroom,2.4,2,c,d,,,,,rotation,jump,,,,
620,act_7_26,classroom,2.4,2,c,d,,,,,sit_down,stand_up,,,,
630,act_7_36,classroom,2.4,2,d,e,,,,,stand_up,nothing,,,,
631,act_7_37,classroom,2.4,2,e,a,,,,,nothing,walk,,,,
633,act_7_39,classroom,2.4,2,e,a,,,,,rotation,jump,,,,
635,act_7_41,classroom,2.4,2,e,a,,,,,wave,lie_down,,,,
636,act_7_42,classroom,2.4,2,e,a,,,,,lie_down,pick_up,,,,
639,act_7_45,classroom,2.4,2,e,a,,,,,stand_up,nothing,,,,
646,act_7_52,classroom,2.4,2,a,b,,,,,pick_up,pick_up,,,,
660,act_7_66,classroom,2.4,2,c,d,,,,,rotation,rotation,,,,
662,act_7_68,classroom,2.4,2,c,d,,,,,wave,wave,,,,
664,act_7_70,classroom,2.4,2,c,d,,,,,pick_up,pick_up,,,,
667,act_7_73,classroom,2.4,2,d,e,,,,,nothing,nothing,,,,
668,act_7_74,classroom,2.4,2,d,e,,,,,walk,walk,,,,
672,act_7_78,classroom,2.4,2,d,e,,,,,lie_down,lie_down,,,,
687,act_7_93,classroom,2.4,2,a,b,,,,,rotation,rotation,,,,
689,act_7_95,classroom,2.4,2,a,b,,,,,wave,wave,,,,
690,act_7_96,classroom,2.4,2,a,b,,,,,lie_down,lie_down,,,,
699,act_8_6,classroom,2.4,2,,,c,d,,,,,sit_down,stand_up,,
700,act_8_7,classroom,2.4,2,,,c,d,,,,,stand_up,nothing,,
704,act_8_11,classroom,2.4,2,,,d,e,,,,,jump,wave,,
708,act_8_15,classroom,2.4,2,,,d,e,,,,,sit_down,stand_up,,
717,act_8_24,classroom,2.4,2,,,e,a,,,,,sit_down,stand_up,,
718,act_8_25,classroom,2.4,2,,,e,a,,,,,stand_up,nothing,,
727,act_8_34,classroom,2.4,2,,,a,b,,,,,stand_up,nothing,,
729,act_8_36,classroom,2.4,2,,,a,b,,,,,walk,rotation,,
761,act_8_68,classroom,2.4,2,,,e,a,,,,,wave,lie_down,,
768,act_8_75,classroom,2.4,2,,,a,b,,,,,rotation,jump,,
769,act_8_76,classroom,2.4,2,,,a,b,,,,,jump,wave,,
770,act_8_77,classroom,2.4,2,,,a,b,,,,,wave,lie_down,,
771,act_8_78,classroom,2.4,2,,,a,b,,,,,lie_down,pick_up,,
776,act_8_83,classroom,2.4,2,,,b,c,,,,,walk,walk,,
779,act_8_86,classroom,2.4,2,,,b,c,,,,,wave,wave,,
785,act_8_92,classroom,2.4,2,,,c,d,,,,,walk,walk,,
792,act_8_99,classroom,2.4,2,,,c,d,,,,,stand_up,stand_up,,
794,act_9_2,classroom,2.4,2,,,,,e,a,,,,,lie_down,walk
805,act_9_13,classroom,2.4,2,,,,,a,b,,,,,sit_down,jump
807,act_9_15,classroom,2.4,2,,,,,a,b,,,,,nothing,lie_down
815,act_9_23,classroom,2.4,2,,,,,b,c,,,,,stand_up,wave
823,act_9_31,classroom,2.4,2,,,,,c,d,,,,,sit_down,jump
824,act_9_32,classroom,2.4,2,,,,,c,d,,,,,stand_up,wave
825,act_9_33,classroom,2.4,2,,,,,c,d,,,,,nothing,lie_down
826,act_9_34,classroom,2.4,2,,,,,c,d,,,,,walk,pick_up
828,act_9_36,classroom,2.4,2,,,,,c,d,,,,,jump,stand_up
831,act_9_39,classroom,2.4,2,,,,,d,e,,,,,pick_up,rotation
833,act_9_41,classroom,2.4,2,,,,,d,e,,,,,stand_up,wave
846,act_9_54,classroom,2.4,2,,,,,e,a,,,,,walk,stand_up
847,act_9_55,classroom,2.4,2,,,,,a,b,,,,,rotation,nothing
852,act_9_60,classroom,2.4,2,,,,,a,b,,,,,sit_down,lie_down
854,act_9_62,classroom,2.4,2,,,,,a,b,,,,,nothing,sit_down
855,act_9_63,classroom,2.4,2,,,,,a,b,,,,,walk,stand_up
861,act_9_69,classroom,2.4,2,,,,,b,c,,,,,pick_up,lie_down
864,act_9_72,classroom,2.4,2,,,,,b,c,,,,,nothing,stand_up
877,act_9_85,classroom,2.4,2,,,,,d,e,,,,,wave,jump
879,act_9_87,classroom,2.4,2,,,,,d,e,,,,,pick_up,lie_down
892,act_10_1,classroom,2.4,3,a,b,c,,,,nothing,walk,rotation,,,
893,act_10_2,classroom,2.4,3,a,b,c,,,,walk,rotation,jump,,,
895,act_10_4,classroom,2.4,3,a,b,c,,,,jump,wave,lie_down,,,
900,act_10_9,classroom,2.4,3,a,b,c,,,,stand_up,nothing,walk,,,
918,act_10_27,classroom,2.4,3,c,d,e,,,,stand_up,nothing,walk,,,
919,act_10_28,classroom,2.4,3,d,e,a,,,,nothing,walk,rotation,,,
921,act_10_30,classroom,2.4,3,d,e,a,,,,rotation,jump,wave,,,
923,act_10_32,classroom,2.4,3,d,e,a,,,,wave,lie_down,pick_up,,,
925,act_10_34,classroom,2.4,3,d,e,a,,,,pick_up,sit_down,stand_up,,,
929,act_10_38,classroom,2.4,3,e,a,b,,,,walk,rotation,jump,,,
934,act_10_43,classroom,2.4,3,e,a,b,,,,pick_up,sit_down,stand_up,,,
937,act_10_46,classroom,2.4,3,a,b,c,,,,nothing,nothing,walk,,,
944,act_10_53,classroom,2.4,3,a,b,c,,,,sit_down,sit_down,stand_up,,,
951,act_10_60,classroom,2.4,3,b,c,d,,,,lie_down,lie_down,pick_up,,,
952,act_10_61,classroom,2.4,3,b,c,d,,,,pick_up,pick_up,sit_down,,,
954,act_10_63,classroom,2.4,3,b,c,d,,,,stand_up,stand_up,nothing,,,
955,act_10_64,classroom,2.4,3,c,d,e,,,,nothing,nothing,nothing,,,
956,act_10_65,classroom,2.4,3,c,d,e,,,,walk,walk,walk,,,
957,act_10_66,classroom,2.4,3,c,d,e,,,,rotation,rotation,rotation,,,
960,act_10_69,classroom,2.4,3,c,d,e,,,,lie_down,lie_down,lie_down,,,
964,act_10_73,classroom,2.4,3,d,e,a,,,,nothing,nothing,nothing,,,
967,act_10_76,classroom,2.4,3,d,e,a,,,,jump,jump,jump,,,
969,act_10_78,classroom,2.4,3,d,e,a,,,,lie_down,lie_down,lie_down,,,
975,act_10_84,classroom,2.4,3,e,a,b,,,,rotation,rotation,rotation,,,
981,act_10_90,classroom,2.4,3,e,a,b,,,,stand_up,stand_up,stand_up,,,
985,act_10_94,classroom,2.4,3,a,b,c,,,,jump,jump,jump,,,
987,act_10_96,classroom,2.4,3,a,b,c,,,,lie_down,lie_down,lie_down,,,
988,act_10_97,classroom,2.4,3,a,b,c,,,,pick_up,pick_up,pick_up,,,
989,act_10_98,classroom,2.4,3,a,b,c,,,,sit_down,sit_down,sit_down,,,
996,act_11_6,classroom,2.4,3,,b,,d,,a,,pick_up,,stand_up,,lie_down
1001,act_11_11,classroom,2.4,3,,c,,e,,b,,rotation,,wave,,walk
1008,act_11_18,classroom,2.4,3,,c,,e,,b,,nothing,,rotation,,stand_up
1013,act_11_23,classroom,2.4,3,,d,,a,,c,,lie_down,,sit_down,,wave
1016,act_11_26,classroom,2.4,3,,d,,a,,c,,stand_up,,walk,,sit_down
1017,act_11_27,classroom,2.4,3,,d,,a,,c,,nothing,,rotation,,stand_up
1022,act_11_32,classroom,2.4,3,,e,,b,,d,,lie_down,,sit_down,,wave
1029,act_11_39,classroom,2.4,3,,a,,c,,e,,jump,,lie_down,,rotation
1041,act_11_51,classroom,2.4,3,,b,,d,,a,,lie_down,,pick_up,,lie_down
1046,act_11_56,classroom,2.4,3,,c,,e,,b,,walk,,rotation,,walk
1049,act_11_59,classroom,2.4,3,,c,,e,,b,,wave,,lie_down,,wave
1051,act_11_61,classroom,2.4,3,,c,,e,,b,,pick_up,,sit_down,,pick_up
1059,act_11_69,classroom,2.4,3,,d,,a,,c,,lie_down,,pick_up,,lie_down
1060,act_11_70,classroom,2.4,3,,d,,a,,c,,pick_up,,sit_down,,pick_up
1061,act_11_71,classroom,2.4,3,,d,,a,,c,,sit_down,,stand_up,,sit_down
1063,act_11_73,classroom,2.4,3,,e,,b,,d,,nothing,,walk,,nothing
1064,act_11_74,classroom,2.4,3,,e,,b,,d,,walk,,rotation,,walk
1066,act_11_76,classroom,2.4,3,,e,,b,,d,,jump,,wave,,jump
1067,act_11_77,classroom,2.4,3,,e,,b,,d,,wave,,lie_down,,wave
1070,act_11_80,classroom,2.4,3,,e,,b,,d,,sit_down,,stand_up,,sit_down
1073,act_11_83,classroom,2.4,3,,a,,c,,e,,walk,,walk,,walk
1078,act_11_88,classroom,2.4,3,,a,,c,,e,,pick_up,,pick_up,,pick_up
1082,act_11_92,classroom,2.4,3,,b,,d,,a,,walk,,walk,,walk
1099,act_12_10,classroom,2.4,3,b,,,,a,c,nothing,,,,wave,walk
1101,act_12_12,classroom,2.4,3,b,,,,a,c,rotation,,,,pick_up,jump
1121,act_12_32,classroom,2.4,3,d,,,,c,e,wave,,,,stand_up,lie_down
1123,act_12_34,classroom,2.4,3,d,,,,c,e,pick_up,,,,walk,sit_down
1126,act_12_37,classroom,2.4,3,e,,,,d,a,nothing,,,,wave,walk
1137,act_12_48,classroom,2.4,3,a,,,,e,b,rotation,,,,wave,rotation
1149,act_12_60,classroom,2.4,3,b,,,,a,c,lie_down,,,,sit_down,lie_down
1151,act_12_62,classroom,2.4,3,b,,,,a,c,sit_down,,,,nothing,sit_down
1155,act_12_66,classroom,2.4,3,c,,,,b,d,rotation,,,,jump,rotation
1166,act_12_77,classroom,2.4,3,d,,,,c,e,wave,,,,lie_down,wave
1168,act_12_79,classroom,2.4,3,d,,,,c,e,pick_up,,,,sit_down,pick_up
1178,act_12_89,classroom,2.4,3,e,,,,d,a,sit_down,,,,stand_up,sit_down
1180,act_12_91,classroom,2.4,3,a,,,,e,b,nothing,,,,nothing,nothing
1185,act_12_96,classroom,2.4,3,a,,,,e,b,lie_down,,,,lie_down,lie_down
1192,act_13_4,classroom,2.4,4,a,b,c,d,,,jump,wave,lie_down,pick_up,,
1199,act_13_11,classroom,2.4,4,b,c,d,e,,,walk,rotation,jump,wave,,
1203,act_13_15,classroom,2.4,4,b,c,d,e,,,lie_down,pick_up,sit_down,stand_up,,
1206,act_13_18,classroom,2.4,4,b,c,d,e,,,stand_up,nothing,walk,rotation,,
1215,act_13_27,classroom,2.4,4,c,d,e,a,,,stand_up,nothing,walk,rotation,,
1219,act_13_31,classroom,2.4,4,d,e,a,b,,,jump,wave,lie_down,pick_up,,
1230,act_13_42,classroom,2.4,4,e,a,b,c,,,lie_down,pick_up,sit_down,stand_up,,
1240,act_13_52,classroom,2.4,4,a,b,c,d,,,pick_up,pick_up,sit_down,sit_down,,
1241,act_13_53,classroom,2.4,4,a,b,c,d,,,sit_down,sit_down,stand_up,stand_up,,
1242,act_13_54,classroom,2.4,4,a,b,c,d,,,stand_up,stand_up,nothing,nothing,,
1247,act_13_59,classroom,2.4,4,b,c,d,e,,,wave,wave,lie_down,lie_down,,
1249,act_13_61,classroom,2.4,4,b,c,d,e,,,pick_up,pick_up,sit_down,sit_down,,
1250,act_13_62,classroom,2.4,4,b,c,d,e,,,sit_down,sit_down,stand_up,stand_up,,
1253,act_13_65,classroom,2.4,4,c,d,e,a,,,walk,walk,walk,rotation,,
1257,act_13_69,classroom,2.4,4,c,d,e,a,,,lie_down,lie_down,lie_down,pick_up,,
1266,act_13_78,classroom,2.4,4,d,e,a,b,,,lie_down,lie_down,lie_down,pick_up,,
1267,act_13_79,classroom,2.4,4,d,e,a,b,,,pick_up,pick_up,pick_up,sit_down,,
1268,act_13_80,classroom,2.4,4,d,e,a,b,,,sit_down,sit_down,sit_down,stand_up,,
1275,act_13_87,classroom,2.4,4,e,a,b,c,,,lie_down,lie_down,lie_down,lie_down,,
1277,act_13_89,classroom,2.4,4,e,a,b,c,,,sit_down,sit_down,sit_down,sit_down,,
1280,act_13_92,classroom,2.4,4,a,b,c,d,,,walk,walk,walk,walk,,
1287,act_13_99,classroom,2.4,4,a,b,c,d,,,stand_up,stand_up,stand_up,stand_up,,
1291,act_14_4,classroom,2.4,4,,b,,d,e,a,,wave,,pick_up,sit_down,jump
1292,act_14_5,classroom,2.4,4,,b,,d,e,a,,lie_down,,sit_down,stand_up,wave
1297,act_14_10,classroom,2.4,4,,c,,e,a,b,,walk,,jump,wave,nothing
1301,act_14_14,classroom,2.4,4,,c,,e,a,b,,lie_down,,sit_down,stand_up,wave
1302,act_14_15,classroom,2.4,4,,c,,e,a,b,,pick_up,,stand_up,nothing,lie_down
1305,act_14_18,classroom,2.4,4,,c,,e,a,b,,nothing,,rotation,jump,stand_up
1307,act_14_20,classroom,2.4,4,,d,,a,b,c,,rotation,,wave,lie_down,walk
1309,act_14_22,classroom,2.4,4,,d,,a,b,c,,wave,,pick_up,sit_down,jump
1313,act_14_26,classroom,2.4,4,,d,,a,b,c,,stand_up,,walk,rotation,sit_down
1317,act_14_30,classroom,2.4,4,,e,,b,c,d,,jump,,lie_down,pick_up,rotation
1325,act_14_38,classroom,2.4,4,,a,,c,d,e,,rotation,,wave,lie_down,walk
1332,act_14_45,classroom,2.4,4,,a,,c,d,e,,nothing,,rotation,jump,stand_up
1334,act_14_47,classroom,2.4,4,,b,,d,e,a,,walk,,rotation,jump,walk
1342,act_14_55,classroom,2.4,4,,c,,e,a,b,,nothing,,walk,rotation,nothing
1343,act_14_56,classroom,2.4,4,,c,,e,a,b,,walk,,rotation,jump,walk
1344,act_14_57,classroom,2.4,4,,c,,e,a,b,,rotation,,jump,wave,rotation
1354,act_14_67,classroom,2.4,4,,d,,a,b,c,,jump,,wave,wave,jump
1366,act_14_79,classroom,2.4,4,,e,,b,c,d,,pick_up,,sit_down,sit_down,pick_up
1368,act_14_81,classroom,2.4,4,,e,,b,c,d,,stand_up,,nothing,nothing,stand_up
1381,act_14_94,classroom,2.4,4,,b,,d,e,a,,jump,,jump,jump,jump
1383,act_14_96,classroom,2.4,4,,b,,d,e,a,,lie_down,,lie_down,lie_down,lie_down
1387,act_15_1,classroom,2.4,4,a,,c,,e,b,nothing,,rotation,,wave,walk
1388,act_15_2,classroom,2.4,4,a,,c,,e,b,walk,,jump,,lie_down,rotation
1389,act_15_3,classroom,2.4,4,a,,c,,e,b,rotation,,wave,,pick_up,jump
1390,act_15_4,classroom,2.4,4,a,,c,,e,b,jump,,lie_down,,sit_down,wave
1391,act_15_5,classroom,2.4,4,a,,c,,e,b,wave,,pick_up,,stand_up,lie_down
1395,act_15_9,classroom,2.4,4,a,,c,,e,b,stand_up,,walk,,jump,nothing
1404,act_15_18,classroom,2.4,4,b,,d,,a,c,stand_up,,walk,,jump,nothing
1410,act_15_24,classroom,2.4,4,c,,e,,b,d,lie_down,,sit_down,,nothing,pick_up
1436,act_15_50,classroom,2.4,4,a,,c,,e,b,wave,,lie_down,,pick_up,wave
1441,act_15_55,classroom,2.4,4,b,,d,,a,c,nothing,,walk,,rotation,nothing
1443,act_15_57,classroom,2.4,4,b,,d,,a,c,rotation,,jump,,wave,rotation
1461,act_15_75,classroom,2.4,4,d,,a,,c,e,rotation,,rotation,,jump,rotation
1467,act_15_81,classroom,2.4,4,d,,a,,c,e,stand_up,,stand_up,,nothing,stand_up
1482,act_15_96,classroom,2.4,4,a,,c,,e,b,lie_down,,lie_down,,lie_down,lie_down
1485,act_15_99,classroom,2.4,4,a,,c,,e,b,stand_up,,stand_up,,stand_up,stand_up
1496,act_16_11,classroom,2.4,5,b,c,d,e,a,,walk,rotation,jump,wave,lie_down,
1501,act_16_16,classroom,2.4,5,b,c,d,e,a,,pick_up,sit_down,stand_up,nothing,walk,
1522,act_16_37,classroom,2.4,5,e,a,b,c,d,,nothing,walk,rotation,jump,wave,
1525,act_16_40,classroom,2.4,5,e,a,b,c,d,,jump,wave,lie_down,pick_up,sit_down,
1526,act_16_41,classroom,2.4,5,e,a,b,c,d,,wave,lie_down,pick_up,sit_down,stand_up,
1529,act_16_44,classroom,2.4,5,e,a,b,c,d,,sit_down,stand_up,nothing,walk,rotation,
1532,act_16_47,classroom,2.4,5,a,b,c,d,e,,walk,walk,rotation,rotation,jump,
1541,act_16_56,classroom,2.4,5,b,c,d,e,a,,walk,walk,rotation,rotation,jump,
1543,act_16_58,classroom,2.4,5,b,c,d,e,a,,jump,jump,wave,wave,lie_down,
1550,act_16_65,classroom,2.4,5,c,d,e,a,b,,walk,walk,walk,rotation,rotation,
1556,act_16_71,classroom,2.4,5,c,d,e,a,b,,sit_down,sit_down,sit_down,stand_up,stand_up,
1561,act_16_76,classroom,2.4,5,d,e,a,b,c,,jump,jump,jump,wave,wave,
1572,act_16_87,classroom,2.4,5,e,a,b,c,d,,lie_down,lie_down,lie_down,lie_down,pick_up,
1582,act_16_97,classroom,2.4,5,a,b,c,d,e,,pick_up,pick_up,pick_up,pick_up,pick_up,
1586,act_17_2,classroom,2.4,5,,b,c,d,e,a,,rotation,jump,wave,lie_down,walk
1592,act_17_8,classroom,2.4,5,,b,c,d,e,a,,stand_up,nothing,walk,rotation,sit_down
1605,act_17_21,classroom,2.4,5,,d,e,a,b,c,,jump,wave,lie_down,pick_up,rotation
1606,act_17_22,classroom,2.4,5,,d,e,a,b,c,,wave,lie_down,pick_up,sit_down,jump
1608,act_17_24,classroom,2.4,5,,d,e,a,b,c,,pick_up,sit_down,stand_up,nothing,lie_down
1620,act_17_36,classroom,2.4,5,,e,a,b,c,d,,nothing,walk,rotation,jump,stand_up
1623,act_17_39,classroom,2.4,5,,a,b,c,d,e,,jump,wave,lie_down,pick_up,rotation
1626,act_17_42,classroom,2.4,5,,a,b,c,d,e,,pick_up,sit_down,stand_up,nothing,lie_down
1634,act_17_50,classroom,2.4,5,,b,c,d,e,a,,wave,lie_down,lie_down,pick_up,wave
1637,act_17_53,classroom,2.4,5,,b,c,d,e,a,,sit_down,stand_up,stand_up,nothing,sit_down
1639,act_17_55,classroom,2.4,5,,c,d,e,a,b,,nothing,walk,walk,rotation,nothing
1640,act_17_56,classroom,2.4,5,,c,d,e,a,b,,walk,rotation,rotation,jump,walk
1641,act_17_57,classroom,2.4,5,,c,d,e,a,b,,rotation,jump,jump,wave,rotation
1646,act_17_62,classroom,2.4,5,,c,d,e,a,b,,sit_down,stand_up,stand_up,nothing,sit_down
1647,act_17_63,classroom,2.4,5,,c,d,e,a,b,,stand_up,nothing,nothing,walk,stand_up
1649,act_17_65,classroom,2.4,5,,d,e,a,b,c,,walk,walk,rotation,rotation,walk
1664,act_17_80,classroom,2.4,5,,e,a,b,c,d,,sit_down,sit_down,stand_up,stand_up,sit_down
1665,act_17_81,classroom,2.4,5,,e,a,b,c,d,,stand_up,stand_up,nothing,nothing,stand_up
1668,act_17_84,classroom,2.4,5,,a,b,c,d,e,,rotation,rotation,rotation,jump,rotation
1669,act_17_85,classroom,2.4,5,,a,b,c,d,e,,jump,jump,jump,wave,jump
1679,act_17_95,classroom,2.4,5,,b,c,d,e,a,,wave,wave,wave,wave,wave
1680,act_17_96,classroom,2.4,5,,b,c,d,e,a,,lie_down,lie_down,lie_down,lie_down,lie_down
1683,act_17_99,classroom,2.4,5,,b,c,d,e,a,,stand_up,stand_up,stand_up,stand_up,stand_up
1686,act_18_3,classroom,2.4,5,a,,c,d,e,b,rotation,,wave,lie_down,pick_up,jump
1687,act_18_4,classroom,2.4,5,a,,c,d,e,b,jump,,lie_down,pick_up,sit_down,wave
1688,act_18_5,classroom,2.4,5,a,,c,d,e,b,wave,,pick_up,sit_down,stand_up,lie_down
1690,act_18_7,classroom,2.4,5,a,,c,d,e,b,pick_up,,stand_up,nothing,walk,sit_down
1694,act_18_11,classroom,2.4,5,b,,d,e,a,c,walk,,jump,wave,lie_down,rotation
