#,label,environment,wifi_band,number_of_users,user_1_location,user_2_location,user_3_location,user_4_location,user_5_location,user_6_location,user_1_activity,user_2_activity,user_3_activity,user_4_activity,user_5_activity,user_6_activity
10453,act_106_58,empty_room,5.0,5,b,c,d,e,a,,jump,jump,wave,wave,lie_down,
9652,act_98_49,empty_room,5.0,2,,,c,d,,,,,wave,wave,,
5951,act_61_11,meeting_room,5.0,2,b,c,,,,,walk,rotation,,,,
2948,act_30_77,classroom,5.0,3,d,,,,c,e,wave,,,,lie_down,wave
6828,act_69_96,meeting_room,5.0,4,a,,c,,e,b,lie_down,,lie_down,,lie_down,lie_down
4983,act_51_33,meeting_room,2.4,4,d,,a,,c,e,lie_down,,sit_down,,nothing,pick_up
3886,act_40_25,meeting_room,2.4,1,,,,a,,,,,,nothing,,
2679,act_28_6,classroom,5.0,3,a,b,c,,,,lie_down,pick_up,sit_down,,,
6910,act_70_79,meeting_room,5.0,5,d,e,a,b,c,,pick_up,pick_up,pick_up,sit_down,sit_down,
7208,act_73_80,empty_room,2.4,1,d,,,,,,sit_down,,,,,
9540,act_97_36,empty_room,5.0,2,d,e,,,,,stand_up,nothing,,,,
5732,act_58_89,meeting_room,5.0,1,,,,c,,,,,,sit_down,,
3132,act_32_63,classroom,5.0,4,,c,,e,a,b,,stand_up,,nothing,walk,stand_up
9680,act_98_77,empty_room,5.0,2,,,a,b,,,,,wave,lie_down,,
1689,act_18_6,classroom,2.4,5,a,,c,d,e,b,lie_down,,sit_down,stand_up,nothing,pick_up
9719,act_99_17,empty_room,5.0,2,,,,,a,b,,,,,rotation,sit_down
1897,act_20_16,classroom,5.0,1,,c,,,,,,sit_down,,,,
2586,act_27_12,classroom,5.0,2,,,,,a,b,,,,,pick_up,rotation
4891,act_50_40,meeting_room,2.4,4,,a,,c,d,e,,wave,,pick_up,sit_down,jump
1579,act_16_94,classroom,2.4,5,a,b,c,d,e,,jump,jump,jump,jump,jump,
2692,act_28_19,classroom,5.0,3,c,d,e,,,,nothing,walk,rotation,,,
10238,act_104_41,empty_room,5.0,4,,a,,c,d,e,,lie_down,,sit_down,stand_up,wave
1672,act_17_88,classroom,2.4,5,,a,b,c,d,e,,pick_up,pick_up,pick_up,sit_down,pick_up
1122,act_12_33,classroom,2.4,3,d,,,,c,e,lie_down,,,,nothing,pick_up
1502,act_16_17,classroom,2.4,5,b,c,d,e,a,,sit_down,stand_up,nothing,walk,rotation,
10335,act_105_39,empty_room,5.0,4,e,,b,,d,a,rotation,,wave,,pick_up,jump
2974,act_31_4,classroom,5.0,4,a,b,c,d,,,jump,wave,lie_down,pick_up,,
6373,act_65_37,meeting_room,5.0,3,,a,,c,,e,,walk,,jump,,nothing
2981,act_31_11,classroom,5.0,4,b,c,d,e,,,walk,rotation,jump,wave,,
3686,act_38_23,meeting_room,2.4,1,,d,,,,,,lie_down,,,,
4318,act_44_61,meeting_room,2.4,2,,,d,e,,,,,sit_down,sit_down,,
3265,act_33_97,classroom,5.0,4,a,,c,,e,b,pick_up,,pick_up,,pick_up,pick_up
10176,act_103_78,empty_room,5.0,4,d,e,a,b,,,lie_down,lie_down,lie_down,pick_up,,
10566,act_107_72,empty_room,5.0,5,,d,e,a,b,c,,stand_up,stand_up,nothing,nothing,stand_up
5595,act_57_51,meeting_room,5.0,1,,,c,,,,,,pick_up,,,
7701,act_78_78,empty_room,2.4,1,,,,,,d,,,,,,lie_down
5712,act_58_69,meeting_room,5.0,1,,,,a,,,,,,pick_up,,
4575,act_47_21,meeting_room,2.4,3,,d,,a,,c,,jump,,lie_down,,rotation
11082,act_204_93,meeting_room,5.0,0,,,,,,,,,,,,
3680,act_38_17,meeting_room,2.4,1,,c,,,,,,stand_up,,,,
8845,act_90_34,empty_room,2.4,5,d,,a,b,c,e,pick_up,,stand_up,nothing,walk,sit_down
1062,act_11_72,classroom,2.4,3,,d,,a,,c,,stand_up,,nothing,,stand_up
3523,act_36_58,classroom,5.0,5,b,,d,e,a,c,jump,,wave,wave,lie_down,jump
5584,act_57_40,meeting_room,5.0,1,,,b,,,,,,lie_down,,,
6339,act_65_3,meeting_room,5.0,3,,b,,d,,a,,jump,,lie_down,,rotation
9939,act_101_39,empty_room,5.0,3,,a,,c,,e,,jump,,lie_down,,rotation
1510,act_16_25,classroom,2.4,5,c,d,e,a,b,,pick_up,sit_down,stand_up,nothing,walk,
961,act_10_70,classroom,2.4,3,c,d,e,,,,pick_up,pick_up,pick_up,,,
9337,act_95_31,empty_room,5.0,1,,,,,c,,,,,,sit_down,
2246,act_23_68,classroom,5.0,1,,,,,b,,,,,,lie_down,
759,act_8_66,classroom,2.4,2,,,e,a,,,,,rotation,jump,,
7921,act_81_1,empty_room,2.4,2,,,,,e,a,,,,,wave,nothing
8680,act_88_67,empty_room,2.4,5,c,d,e,a,b,,jump,jump,jump,wave,wave,
11143,act_205_55,empty_room,2.4,0,,,,,,,,,,,,
3054,act_31_84,classroom,5.0,4,e,a,b,c,,,rotation,rotation,rotation,rotation,,
6856,act_70_25,meeting_room,5.0,5,c,d,e,a,b,,pick_up,sit_down,stand_up,nothing,walk,
2212,act_23_34,classroom,5.0,1,,,,,c,,,,,,walk,
9579,act_97_75,empty_room,5.0,2,d,e,,,,,rotation,rotation,,,,
7581,act_77_57,empty_room,2.4,1,,,,,a,,,,,,wave,
4640,act_47_86,meeting_room,2.4,3,,a,,c,,e,,wave,,wave,,wave
10476,act_106_81,empty_room,5.0,5,d,e,a,b,c,,stand_up,stand_up,stand_up,nothing,nothing,
9782,act_99_80,empty_room,5.0,2,,,,,c,d,,,,,stand_up,sit_down
4033,act_41_73,meeting_room,2.4,1,,,,,c,,,,,,walk,
380,act_4_83,classroom,2.4,1,,,,c,,,,,,walk,,
1214,act_13_26,classroom,2.4,4,c,d,e,a,,,sit_down,stand_up,nothing,walk,,
9294,act_94_87,empty_room,5.0,1,,,,c,,,,,,lie_down,,
10687,act_108_94,empty_room,5.0,5,a,,c,d,e,b,jump,,jump,jump,jump,jump
5837,act_59_95,meeting_room,5.0,1,,,,,e,,,,,,wave,
10845,act_202_54,classroom,5.0,0,,,,,,,,,,,,
8105,act_82_86,empty_room,2.4,3,e,a,b,,,,wave,wave,wave,,,
219,act_3_21,classroom,2.4,1,,,e,,,,,,wave,,,
5170,act_53_22,meeting_room,2.4,5,,d,e,a,b,c,,wave,lie_down,pick_up,sit_down,jump
7045,act_72_16,meeting_room,5.0,5,b,,d,e,a,c,pick_up,,stand_up,nothing,walk,sit_down
1158,act_12_69,classroom,2.4,3,c,,,,b,d,lie_down,,,,pick_up,lie_down
1567,act_16_82,classroom,2.4,5,e,a,b,c,d,,nothing,nothing,nothing,nothing,walk,
2184,act_23_6,classroom,5.0,1,,,,,e,,,,,,nothing,
7406,act_75_80,empty_room,2.4,1,,,a,,,,,,sit_down,,,
399,act_5_3,classroom,2.4,1,,,,,e,,,,,,pick_up,
7320,act_74_93,empty_room,2.4,1,,b,,,,,,rotation,,,,
4096,act_42_37,meeting_room,2.4,1,,,,,,e,,,,,,nothing
3496,act_36_31,classroom,5.0,5,d,,a,b,c,e,jump,,lie_down,pick_up,sit_down,wave
3539,act_36_74,classroom,5.0,5,d,,a,b,c,e,walk,,walk,rotation,rotation,walk
305,act_4_8,classroom,2.4,1,,,,d,,,,,,walk,,
10577,act_107_83,empty_room,5.0,5,,a,b,c,d,e,,walk,walk,walk,rotation,walk
933,act_10_42,classroom,2.4,3,e,a,b,,,,lie_down,pick_up,sit_down,,,
7632,act_78_9,empty_room,2.4,1,,,,,,a,,,,,,stand_up
9307,act_95_1,empty_room,5.0,1,,,,,e,,,,,,wave,
6780,act_69_48,meeting_room,5.0,4,a,,c,,e,b,rotation,,jump,,wave,rotation
5664,act_58_21,meeting_room,5.0,1,,,,a,,,,,,lie_down,,
6439,act_66_4,meeting_room,5.0,3,a,,,,e,b,jump,,,,sit_down,wave
3017,act_31_47,classroom,5.0,4,a,b,c,d,,,walk,walk,rotation,rotation,,
1731,act_18_48,classroom,2.4,5,a,,c,d,e,b,rotation,,jump,jump,wave,rotation
625,act_7_31,classroom,2.4,2,d,e,,,,,jump,wave,,,,
8948,act_91_38,empty_room,5.0,1,e,,,,,,walk,,,,,
11130,act_205_42,empty_room,2.4,0,,,,,,,,,,,,
7982,act_81_62,empty_room,2.4,2,,,,,a,b,,,,,nothing,sit_down
10350,act_105_54,empty_room,5.0,4,a,,c,,e,b,stand_up,,nothing,,walk,stand_up
1618,act_17_34,classroom,2.4,5,,e,a,b,c,d,,sit_down,stand_up,nothing,walk,pick_up
4272,act_44_15,meeting_room,2.4,2,,,d,e,,,,,sit_down,stand_up,,
6077,act_62_38,meeting_room,5.0,2,,,b,c,,,,,jump,wave,,
3425,act_35_59,classroom,5.0,5,,c,d,e,a,b,,wave,lie_down,lie_down,pick_up,wave
4113,act_42_54,meeting_room,2.4,1,,,,,,a,,,,,,stand_up
5822,act_59_80,meeting_room,5.0,1,,,,,c,,,,,,stand_up,
3887,act_40_26,meeting_room,2.4,1,,,,a,,,,,,walk,,
5341,act_54_94,meeting_room,2.4,5,a,,c,d,e,b,jump,,jump,jump,jump,jump
7101,act_72_72,meeting_room,5.0,5,c,,e,a,b,d,stand_up,,stand_up,nothing,nothing,stand_up
669,act_7_75,classroom,2.4,2,d,e,,,,,rotation,rotation,,,,
9963,act_101_63,empty_room,5.0,3,,c,,e,,b,,stand_up,,nothing,,stand_up
9515,act_97_11,empty_room,5.0,2,b,c,,,,,walk,rotation,,,,
8002,act_81_82,empty_room,2.4,2,,,,,d,e,,,,,walk,nothing
5961,act_61_21,meeting_room,5.0,2,c,d,,,,,rotation,jump,,,,
3972,act_41_12,meeting_room,2.4,1,,,,,a,,,,,,pick_up,
8138,act_83_20,empty_room,2.4,3,,d,,a,,c,,rotation,,wave,,walk
4598,act_47_44,meeting_room,2.4,3,,a,,c,,e,,stand_up,,walk,,sit_down
9954,act_101_54,empty_room,5.0,3,,b,,d,,a,,stand_up,,nothing,,stand_up
7794,act_79_72,empty_room,2.4,2,c,d,,,,,stand_up,stand_up,,,,
11156,act_205_68,empty_room,2.4,0,,,,,,,,,,,,
11243,act_206_56,empty_room,5.0,0,,,,,,,,,,,,
2985,act_31_15,classroom,5.0,4,b,c,d,e,,,lie_down,pick_up,sit_down,stand_up,,
6511,act_66_76,meeting_room,5.0,3,d,,,,c,e,jump,,,,wave,jump
7290,act_74_63,empty_room,2.4,1,,c,,,,,,stand_up,,,,
9633,act_98_30,empty_room,5.0,2,,,a,b,,,,,wave,lie_down,,
1286,act_13_98,classroom,2.4,4,a,b,c,d,,,sit_down,sit_down,sit_down,sit_down,,
10803,act_202_12,classroom,5.0,0,,,,,,,,,,,,
1480,act_15_94,classroom,2.4,4,a,,c,,e,b,jump,,jump,,jump,jump
9481,act_96_76,empty_room,5.0,1,,,,,,d,,,,,,jump
3126,act_32_57,classroom,5.0,4,,c,,e,a,b,,rotation,,jump,wave,rotation
1458,act_15_72,classroom,2.4,4,c,,e,,b,d,stand_up,,stand_up,,nothing,stand_up
7147,act_73_19,empty_room,2.4,1,c,,,,,,nothing,,,,,
3747,act_38_84,meeting_room,2.4,1,,a,,,,,,rotation,,,,
11286,act_206_99,empty_room,5.0,0,,,,,,,,,,,,
5604,act_57_60,meeting_room,5.0,1,,,d,,,,,,pick_up,,,
34,act_1_34,classroom,2.4,1,d,,,,,,pick_up,,,,,
8747,act_89_35,empty_room,2.4,5,,e,a,b,c,d,,stand_up,nothing,walk,rotation,sit_down
10774,act_201_82,classroom,2.4,0,,,,,,,,,,,,
4227,act_43_69,meeting_room,2.4,2,c,d,,,,,lie_down,lie_down,,,,
5187,act_53_39,meeting_room,2.4,5,,a,b,c,d,e,,jump,wave,lie_down,pick_up,rotation
120,act_2_21,classroom,2.4,1,,d,,,,,,jump,,,,
10988,act_203_98,meeting_room,2.4,0,,,,,,,,,,,,
462,act_5_66,classroom,2.4,1,,,,,b,,,,,,jump,
6679,act_68_46,meeting_room,5.0,4,,b,,d,e,a,,nothing,,walk,rotation,nothing
3353,act_34_86,classroom,5.0,5,e,a,b,c,d,,wave,wave,wave,wave,lie_down,
1651,act_17_67,classroom,2.4,5,,d,e,a,b,c,,jump,jump,wave,wave,jump
6801,act_69_69,meeting_room,5.0,4,c,,e,,b,d,lie_down,,lie_down,,pick_up,lie_down
8913,act_91_3,empty_room,5.0,1,a,,,,,,rotation,,,,,
7268,act_74_41,empty_room,2.4,1,,a,,,,,,lie_down,,,,
1524,act_16_39,classroom,2.4,5,e,a,b,c,d,,rotation,jump,wave,lie_down,pick_up,
8792,act_89_80,empty_room,2.4,5,,e,a,b,c,d,,sit_down,sit_down,stand_up,stand_up,sit_down
10564,act_107_70,empty_room,5.0,5,,d,e,a,b,c,,pick_up,pick_up,sit_down,sit_down,pick_up
8722,act_89_10,empty_room,2.4,5,,c,d,e,a,b,,walk,rotation,jump,wave,nothing
11021,act_204_32,meeting_room,5.0,0,,,,,,,,,,,,
3890,act_40_29,meeting_room,2.4,1,,,,b,,,,,,wave,,
10665,act_108_72,empty_room,5.0,5,c,,e,a,b,d,stand_up,,stand_up,nothing,nothing,stand_up
4216,act_43_58,meeting_room,2.4,2,b,c,,,,,jump,jump,,,,
5505,act_56_60,meeting_room,5.0,1,,c,,,,,,lie_down,,,,
252,act_3_54,classroom,2.4,1,,,c,,,,,,nothing,,,
9683,act_98_80,empty_room,5.0,2,,,a,b,,,,,sit_down,stand_up,,
9144,act_93_36,empty_room,5.0,1,,,a,,,,,,walk,,,
6671,act_68_38,meeting_room,5.0,4,,a,,c,d,e,,rotation,,wave,lie_down,walk
3266,act_33_98,classroom,5.0,4,a,,c,,e,b,sit_down,,sit_down,,sit_down,sit_down
2010,act_21_30,classroom,5.0,1,,,a,,,,,,wave,,,
8669,act_88_56,empty_room,2.4,5,b,c,d,e,a,,walk,walk,rotation,rotation,jump,
4973,act_51_23,meeting_room,2.4,4,c,,e,,b,d,wave,,pick_up,,stand_up,lie_down
1759,act_18_76,classroom,2.4,5,d,,a,b,c,e,jump,,jump,wave,wave,jump
7444,act_76_19,empty_room,2.4,1,,,,a,,,,,,jump,,
1792,act_19_10,classroom,5.0,1,b,,,,,,nothing,,,,,
11250,act_206_63,empty_room,5.0,0,,,,,,,,,,,,
4056,act_41_96,meeting_room,2.4,1,,,,,e,,,,,,lie_down,
150,act_2_51,classroom,2.4,1,,b,,,,,,lie_down,,,,
563,act_6_68,classroom,2.4,1,,,,,,c,,,,,,wave
1892,act_20_11,classroom,5.0,1,,c,,,,,,rotation,,,,
8954,act_91_44,empty_room,5.0,1,e,,,,,,sit_down,,,,,
1719,act_18_36,classroom,2.4,5,d,,a,b,c,e,stand_up,,walk,rotation,jump,nothing
11027,act_204_38,meeting_room,5.0,0,,,,,,,,,,,,
2760,act_28_87,classroom,5.0,3,e,a,b,,,,lie_down,lie_down,lie_down,,,
5063,act_52_14,meeting_room,2.4,5,b,c,d,e,a,,wave,lie_down,pick_up,sit_down,stand_up,
9183,act_93_75,empty_room,5.0,1,,,a,,,,,,rotation,,,
11285,act_206_98,empty_room,5.0,0,,,,,,,,,,,,
4430,act_45_74,meeting_room,2.4,2,,,,,c,d,,,,,rotation,walk
8574,act_87_60,empty_room,2.4,4,b,,d,,a,c,lie_down,,pick_up,,sit_down,lie_down
6993,act_71_63,meeting_room,5.0,5,,c,d,e,a,b,,stand_up,nothing,nothing,walk,stand_up
1278,act_13_90,classroom,2.4,4,e,a,b,c,,,stand_up,stand_up,stand_up,stand_up,,
3404,act_35_38,classroom,5.0,5,,a,b,c,d,e,,rotation,jump,wave,lie_down,walk
8360,act_85_44,empty_room,2.4,4,e,a,b,c,,,sit_down,stand_up,nothing,walk,,
4787,act_49_35,meeting_room,2.4,4,d,e,a,b,,,sit_down,stand_up,nothing,walk,,
4265,act_44_8,meeting_room,2.4,2,,,c,d,,,,,nothing,walk,,
8725,act_89_13,empty_room,2.4,5,,c,d,e,a,b,,wave,lie_down,pick_up,sit_down,jump
9004,act_91_94,empty_room,5.0,1,a,,,,,,jump,,,,,
7451,act_76_26,empty_room,2.4,1,,,,a,,,,,,walk,,
1573,act_16_88,classroom,2.4,5,e,a,b,c,d,,pick_up,pick_up,pick_up,pick_up,sit_down,
6927,act_70_96,meeting_room,5.0,5,a,b,c,d,e,,lie_down,lie_down,lie_down,lie_down,lie_down,
4337,act_44_80,meeting_room,2.4,2,,,a,b,,,,,sit_down,stand_up,,
7223,act_73_95,empty_room,2.4,1,a,,,,,,wave,,,,,
8342,act_85_26,empty_room,2.4,4,c,d,e,a,,,sit_down,stand_up,nothing,walk,,
5366,act_55_20,meeting_room,5.0,1,c,,,,,,walk,,,,,
4537,act_46_82,meeting_room,2.4,3,e,a,b,,,,nothing,nothing,nothing,,,
1723,act_18_40,classroom,2.4,5,e,,b,c,d,a,jump,,lie_down,pick_up,sit_down,wave
8622,act_88_9,empty_room,2.4,5,a,b,c,d,e,,stand_up,nothing,walk,rotation,jump,
4041,act_41_81,meeting_room,2.4,1,,,,,c,,,,,,nothing,
6913,act_70_82,meeting_room,5.0,5,e,a,b,c,d,,nothing,nothing,nothing,nothing,walk,
4222,act_43_64,meeting_room,2.4,2,c,d,,,,,nothing,nothing,,,,
9981,act_101_81,empty_room,5.0,3,,e,,b,,d,,stand_up,,nothing,,stand_up
765,act_8_72,classroom,2.4,2,,,e,a,,,,,stand_up,nothing,,
3095,act_32_26,classroom,5.0,4,,d,,a,b,c,,stand_up,,walk,rotation,sit_down
1671,act_17_87,classroom,2.4,5,,a,b,c,d,e,,lie_down,lie_down,lie_down,pick_up,lie_down
9696,act_98_93,empty_room,5.0,2,,,c,d,,,,,rotation,rotation,,
9903,act_101_3,empty_room,5.0,3,,b,,d,,a,,jump,,lie_down,,rotation
3252,act_33_84,classroom,5.0,4,e,,b,,d,a,rotation,,rotation,,jump,rotation
6361,act_65_25,meeting_room,5.0,3,,d,,a,,c,,sit_down,,nothing,,pick_up
9254,act_94_47,empty_room,5.0,1,,,,d,,,,,,rotation,,
4163,act_43_5,meeting_room,2.4,2,a,b,,,,,wave,lie_down,,,,
3652,act_37_88,meeting_room,2.4,1,e,,,,,,pick_up,,,,,
6244,act_64_7,meeting_room,5.0,3,a,b,c,,,,pick_up,sit_down,stand_up,,,
1042,act_11_52,classroom,2.4,3,,b,,d,,a,,pick_up,,sit_down,,pick_up
4149,act_42_90,meeting_room,2.4,1,,,,,,e,,,,,,stand_up
8567,act_87_53,empty_room,2.4,4,a,,c,,e,b,sit_down,,stand_up,,nothing,sit_down
4603,act_47_49,meeting_room,2.4,3,,b,,d,,a,,jump,,wave,,jump
9299,act_94_92,empty_room,5.0,1,,,,d,,,,,,walk,,
3469,act_36_4,classroom,5.0,5,a,,c,d,e,b,jump,,lie_down,pick_up,sit_down,wave
6919,act_70_88,meeting_room,5.0,5,e,a,b,c,d,,pick_up,pick_up,pick_up,pick_up,sit_down,
1209,act_13_21,classroom,2.4,4,c,d,e,a,,,rotation,jump,wave,lie_down,,
4606,act_47_52,meeting_room,2.4,3,,b,,d,,a,,pick_up,,sit_down,,pick_up
9905,act_101_5,empty_room,5.0,3,,b,,d,,a,,lie_down,,sit_down,,wave
4644,act_47_90,meeting_room,2.4,3,,a,,c,,e,,stand_up,,stand_up,,stand_up
4885,act_50_34,meeting_room,2.4,4,,e,,b,c,d,,sit_down,,nothing,walk,pick_up
11248,act_206_61,empty_room,5.0,0,,,,,,,,,,,,
215,act_3_17,classroom,2.4,1,,,d,,,,,,nothing,,,
5693,act_58_50,meeting_room,5.0,1,,,,d,,,,,,lie_down,,
9432,act_96_27,empty_room,5.0,1,,,,,,c,,,,,,stand_up
42,act_1_42,classroom,2.4,1,e,,,,,,lie_down,,,,,
2146,act_22_67,classroom,5.0,1,,,,a,,,,,,wave,,
3814,act_39_52,meeting_room,2.4,1,,,c,,,,,,sit_down,,,
1846,act_19_64,classroom,5.0,1,c,,,,,,nothing,,,,,
10026,act_102_27,empty_room,5.0,3,c,,,,b,d,stand_up,,,,jump,nothing
3106,act_32_37,classroom,5.0,4,,a,,c,d,e,,walk,,jump,wave,nothing
4484,act_46_29,meeting_room,2.4,3,d,e,a,,,,walk,rotation,jump,,,
1624,act_17_40,classroom,2.4,5,,a,b,c,d,e,,wave,lie_down,pick_up,sit_down,jump
9469,act_96_64,empty_room,5.0,1,,,,,,c,,,,,,nothing
5991,act_61_51,meeting_room,5.0,2,a,b,,,,,lie_down,lie_down,,,,
3762,act_38_99,meeting_room,2.4,1,,b,,,,,,stand_up,,,,
3209,act_33_41,classroom,5.0,4,e,,b,,d,a,wave,,pick_up,,stand_up,lie_down
9809,act_100_8,empty_room,5.0,3,a,b,c,,,,sit_down,stand_up,nothing,,,
8412,act_85_96,empty_room,2.4,4,a,b,c,d,,,lie_down,lie_down,lie_down,lie_down,,
1282,act_13_94,classroom,2.4,4,a,b,c,d,,,jump,jump,jump,jump,,
